discente,periodoano,media_c1,faltas_c1,media_pre,faltas_pre,media_vga,faltas_vga,descricao_c3
9772c149bd73a06d3491a55ca49855bc,20151,1.4,0.0,3.3,0.0,0.8,2.0,NÃO PRESENTE
71d3a58ec8c9df656ed01ccaeb7fb0d7,20151,0.0,0.0,0.1,8.0,0.0,50.0,NÃO PRESENTE
efa2d0f5a7b1b543a8d654919ce9fe43,20151,9.0,0.0,6.3,0.0,8.6,2.0,APROVADO POR NOTA
966f1c492934e83aa4159824a1e7b507,20151,1.8,0.0,1.6,0.0,3.7,6.0,NÃO PRESENTE
459f071362203e2a7d2bf6dd777580d4,20151,3.9,0.0,1.3,6.0,0.5,16.0,NÃO PRESENTE
c2f9e47721895f39ab88a1414ccb9630,20151,9.1,0.0,10.0,0.0,7.7,0.0,APROVADO POR NOTA
a8f22f5ced9f7697b3ae86f899594d72,20151,5.0,0.0,5.5,4.0,6.8,4.0,NÃO PRESENTE
d2dfb6406691d1130052bafd8e1ddca2,20151,6.0,0.0,5.0,4.0,7.1,2.0,NÃO PRESENTE
6efbf8793dc5ed74b9de5d959ce91597,20151,10.0,0.0,10.0,0.0,9.7,0.0,APROVADO
2f22bab6be59f0bd074d61945455c67e,20151,7.3,0.0,5.7,0.0,7.3,2.0,APROVADO
651bd399eeaa495891e995589019f9fb,20151,2.4,0.0,1.2,4.0,1.2,10.0,NÃO PRESENTE
54c638989c2444abbbbfe98fa078915d,20151,5.3,0.0,7.8,0.0,5.3,0.0,NÃO PRESENTE
f6583697a09b47b512e75ab6a83c2950,20151,8.3,0.0,1.4,0.0,5.6,0.0,REPROVADO
bcc1eb3ee75fe66e8c3599f43d72d96d,20151,7.1,0.0,5.0,0.0,6.5,0.0,APROVADO
25dd0216691e1644cfb19c0bfb7ff8b3,20151,5.3,0.0,9.4,0.0,4.2,0.0,NÃO PRESENTE
f5b8e5a1481e8c3f141dd48d34b53ad9,20151,7.9,0.0,7.0,10.0,8.4,6.0,APROVADO POR NOTA
9692245086fc1a3559a9c6db530e9433,20151,0.0,0.0,0.2,22.0,0.0,52.0,NÃO PRESENTE
55382f57f71db606836181845b316adb,20151,0.0,0.0,0.0,0.0,0.0,8.0,NÃO PRESENTE
17fa43824de975e491452914e7955e65,20151,0.4,0.0,0.6,16.0,0.7,44.0,NÃO PRESENTE
27c4ac8a1a53153d6b6e553adbd62808,20151,0.7,0.0,1.5,0.0,3.8,0.0,NÃO PRESENTE
60c41c2d477f67ae457465dd8124b75d,20151,0.3,0.0,3.0,0.0,0.0,6.0,NÃO PRESENTE
0cc3db6ed32ab41d5af68ed07dab18e1,20151,1.2,0.0,3.0,0.0,3.8,0.0,NÃO PRESENTE
d9b7cd0b533fa0a7c3ea603a604f0942,20151,1.1,0.0,3.0,0.0,2.4,6.0,NÃO PRESENTE
696b409f22d0b2da27b0d9174ea932e0,20151,5.4,0.0,2.1,0.0,6.3,8.0,NÃO PRESENTE
ccdb15cb5472dce2d7e290ff60d5bfc9,20151,0.0,0.0,0.0,20.0,0.0,42.0,NÃO PRESENTE
0e326010fc33d9def7b6cfa0c72688f2,20151,0.0,0.0,0.0,34.0,0.0,30.0,NÃO PRESENTE
82898710e41ce3e4fc79d6008a52f463,20151,0.4,0.0,0.0,0.0,0.3,10.0,NÃO PRESENTE
