,discente,media_final,numero_total_faltas,descricao
73,d4ada120bb8b730555873599071c98b5,8.3,0.0,NÃO PRESENTE
74,7526a05f81c631da3dc6a9569c3ce34e,3.3,0.0,NÃO PRESENTE
75,e12d916f0156a9efd1833102851ddd0e,2.7,0.0,NÃO PRESENTE
76,c17d96f5826f21ecdedeb56540d6ee0e,0.0,34.0,NÃO PRESENTE
77,f0073932c9e8b0752ee731d634454689,0.0,46.0,NÃO PRESENTE
78,ba02b11a4ffc35a12e16ba6c247c7646,0.0,32.0,NÃO PRESENTE
79,537992f699ecf55919cc7eb861a2f198,0.0,34.0,NÃO PRESENTE
80,a44d35b269e181e64f3c8fbf137b25eb,0.0,34.0,NÃO PRESENTE
81,7187470af2d6d949c85febb6a4258ae9,0.0,34.0,NÃO PRESENTE
82,fcff40767f0f55425c36c7dd6d4a3ace,4.3,0.0,NÃO PRESENTE
83,daa98d44d5762c5b3812d27a3dae45f1,0.7,0.0,NÃO PRESENTE
84,d61fad3b68345b53959534818ea1a9b7,0.7,0.0,NÃO PRESENTE
85,596cb122b574f93e18445cc22ea3f61e,0.0,42.0,NÃO PRESENTE
86,0b3d7f76a836558a4915cbc5e79a30c2,3.8,0.0,NÃO PRESENTE
87,6c587c91a054681613885a44f4bbdaf6,3.3,0.0,NÃO PRESENTE
88,cb6b0df9d57be96835f106aa4904adbc,0.0,34.0,NÃO PRESENTE
89,4f95787ff326a057d663b8329fed5fa4,0.0,44.0,NÃO PRESENTE
90,97eeeeb81ab526c8936e0def1e7540c1,1.7,0.0,NÃO PRESENTE
91,37e1bbca9fd7511f9e67979487b2fabd,1.3,0.0,NÃO PRESENTE
92,797e053c6973ff6bbbe23888f6a4eb73,8.7,0.0,NÃO PRESENTE
93,ef666b93ff12938be6eb12227001ff04,0.0,0.0,NÃO PRESENTE
94,74620b4149f41d3ee42335aa8918a48a,6.7,0.0,NÃO PRESENTE
95,034a1bd35a241400cec8a2268261f8a0,0.7,0.0,NÃO PRESENTE
96,c74b9117d35940682ecf37aa1cf3a08d,3.5,0.0,NÃO PRESENTE
97,fbc5f861aacf07f8af2ce81e127793a4,0.0,0.0,NÃO PRESENTE
98,3cb61af346295e729afd9843f66ac546,0.0,34.0,NÃO PRESENTE
99,251d2e694ff4bf253bba2ee6446b51c9,0.0,0.0,NÃO PRESENTE
100,ae8bb5f2600aa9d51eedf5bb8beedd0e,0.0,0.0,NÃO PRESENTE
101,4bbc9176cb8e1c3cf435bb3bab7e926b,0.0,0.0,NÃO PRESENTE
102,9b545286828091539e765214aeef5546,5.0,0.0,NÃO PRESENTE
103,6872520b71e1201c47155d55325ded0f,0.0,0.0,NÃO PRESENTE
104,2a9590c18fa91de4bca5d292430ecb0a,0.0,32.0,NÃO PRESENTE
105,5f11ef3327d0a4a7dd0ad2634b3238f9,4.2,0.0,NÃO PRESENTE
106,4dd764ff30ca9db7e658c1ad4857979c,4.8,0.0,NÃO PRESENTE
107,ee0a2c9123e45d2e9e670bc8d39da324,9.2,0.0,APROVADO
109,cc4746acf2128c14bc833524b439773d,7.2,0.0,APROVADO POR NOTA
111,67a850f4542904b8cc0ea8b821ec4bd1,1.1,0.0,NÃO PRESENTE
112,bc5747f34e34ad0ec959ef9d6b7ba5db,0.0,0.0,NÃO PRESENTE
113,9772c149bd73a06d3491a55ca49855bc,1.4,0.0,NÃO PRESENTE
114,71d3a58ec8c9df656ed01ccaeb7fb0d7,0.0,0.0,NÃO PRESENTE
115,efa2d0f5a7b1b543a8d654919ce9fe43,9.0,0.0,APROVADO POR NOTA
116,86064d770da2762e42605e447d8b20d1,0.6,0.0,NÃO PRESENTE
117,966f1c492934e83aa4159824a1e7b507,1.8,0.0,NÃO PRESENTE
118,459f071362203e2a7d2bf6dd777580d4,3.9,0.0,NÃO PRESENTE
119,c2f9e47721895f39ab88a1414ccb9630,9.1,0.0,APROVADO POR NOTA
120,a8f22f5ced9f7697b3ae86f899594d72,5.0,0.0,NÃO PRESENTE
121,d2dfb6406691d1130052bafd8e1ddca2,6.0,0.0,NÃO PRESENTE
122,6efbf8793dc5ed74b9de5d959ce91597,10.0,0.0,APROVADO
123,2f22bab6be59f0bd074d61945455c67e,7.3,0.0,APROVADO
124,651bd399eeaa495891e995589019f9fb,2.4,0.0,NÃO PRESENTE
125,54c638989c2444abbbbfe98fa078915d,5.3,0.0,NÃO PRESENTE
126,6148482a3bc488a0c864d0f2fdd558fc,3.7,0.0,NÃO PRESENTE
127,f6583697a09b47b512e75ab6a83c2950,8.3,0.0,REPROVADO
129,bcc1eb3ee75fe66e8c3599f43d72d96d,7.1,0.0,APROVADO
130,25dd0216691e1644cfb19c0bfb7ff8b3,5.3,0.0,NÃO PRESENTE
131,f5b8e5a1481e8c3f141dd48d34b53ad9,7.9,0.0,APROVADO POR NOTA
132,9692245086fc1a3559a9c6db530e9433,0.0,0.0,NÃO PRESENTE
133,55382f57f71db606836181845b316adb,0.0,0.0,NÃO PRESENTE
134,17fa43824de975e491452914e7955e65,0.4,0.0,NÃO PRESENTE
135,27c4ac8a1a53153d6b6e553adbd62808,0.7,0.0,NÃO PRESENTE
136,60c41c2d477f67ae457465dd8124b75d,0.3,0.0,NÃO PRESENTE
137,0cc3db6ed32ab41d5af68ed07dab18e1,1.2,0.0,NÃO PRESENTE
138,d9b7cd0b533fa0a7c3ea603a604f0942,1.1,0.0,NÃO PRESENTE
139,696b409f22d0b2da27b0d9174ea932e0,5.4,0.0,NÃO PRESENTE
140,ccdb15cb5472dce2d7e290ff60d5bfc9,0.0,0.0,NÃO PRESENTE
141,cd2c263931fedb76848ca64326c1d0ba,0.0,0.0,NÃO PRESENTE
142,05804cb20349794fcecd390bb800e74b,3.1,0.0,NÃO PRESENTE
143,dda4e8b5996e3a008665a0fd7d56e2ac,0.0,0.0,NÃO PRESENTE
144,0e326010fc33d9def7b6cfa0c72688f2,0.0,0.0,NÃO PRESENTE
145,82898710e41ce3e4fc79d6008a52f463,0.4,0.0,NÃO PRESENTE
146,b3f1bbd1657ba75df7daa2e41dc94f9c,1.6,0.0,NÃO PRESENTE
147,1454af247e2b05c17842495c6c80111c,7.3,0.0,APROVADO POR NOTA
148,55697526679c0ed0f2e4fbef04a54be3,0.7,0.0,NÃO PRESENTE
149,3c2d63dfb6bd2181a57d26628bf849eb,2.5,0.0,NÃO PRESENTE
150,0bed137d32aa677a7ca894d3962e82f6,2.1,0.0,NÃO PRESENTE
151,45d593646123e7802e8cc75c1ad892d6,2.4,0.0,NÃO PRESENTE
152,a5e383674984ac5b7d3b2ad6b3b811f7,0.0,0.0,NÃO PRESENTE
153,880e9f35faaddaa9b5368c2bb7be899c,0.5,0.0,NÃO PRESENTE
154,aacac2eb7c262d7cc09116272777b4b5,3.0,0.0,NÃO PRESENTE
155,9a6adc4c978661aa4308d50e6d706d6c,0.0,0.0,NÃO PRESENTE
156,f8e74f3ca4ad9578f6f2a3a21e8704a2,1.3,0.0,NÃO PRESENTE
157,9a21c21ed042727d913edd47b3ec4933,1.4,0.0,NÃO PRESENTE
158,785135bfc9343ef41290d0a9dc85deb2,0.9,0.0,NÃO PRESENTE
159,e47df73e1987ed5d74e589a9bb64ee4e,0.6,0.0,NÃO PRESENTE
160,844f9252fafef85d2ecd347feeee8f5e,0.5,0.0,NÃO PRESENTE
161,5b4b0f73dfddef54779bdcc0ef1c52cc,0.4,0.0,NÃO PRESENTE
162,0de702954a778f1455e0e9bde6ad0162,0.8,0.0,NÃO PRESENTE
