discente,media_final,numero_total_faltas,descricao
db1487ab08945b94e789c7741f0f226a,0.3,0.0,NÃO PRESENTE
ee203a9980059b51041f7d96db38de23,0.0,0.0,NÃO PRESENTE
45a3f29805fe924aa8f02ef7df02dbe6,0.2,0.0,NÃO PRESENTE
c697552e777b8ea79c794cf4e4a81721,0.0,0.0,NÃO PRESENTE
e78889c08f150fb2deffd902aa4843b4,0.0,0.0,NÃO PRESENTE
5d6cadb1cad5465be52db4c72c1d6cf1,0.2,0.0,NÃO PRESENTE
4790d765e8bc57ff367de566c81292bf,5.2,0.0,NÃO PRESENTE
5553805c2436946931b3a4bfd260a0b5,1.5,0.0,NÃO PRESENTE
271b67689685e4b732e826141ef5dfcf,0.0,0.0,NÃO PRESENTE
70b7c5f836e37f82db63422212c37ba0,0.8,0.0,NÃO PRESENTE
64bd5128f8c9ee4e97b49b5b156b28e7,1.7,0.0,NÃO PRESENTE
6a5fac0146f71db1f321f0ff419ed2c2,8.1,0.0,APROVADO POR NOTA
8dce8caa34aab40d6053d8e2acb59a4e,10.0,0.0,APROVADO
16e5439f7362727e3a815bbf834ba83d,0.1,0.0,NÃO PRESENTE
edf0d65c8359e019a97916a84af2bdf8,0.1,0.0,NÃO PRESENTE
114f7aad5d8c2f02c7559b7896ddb8b1,6.1,0.0,NÃO PRESENTE
d10d5c3be1a0a9c86b208ada82a7445d,0.8,0.0,NÃO PRESENTE
e5930e3c2c83d80ef671058e553b96b9,1.3,0.0,NÃO PRESENTE
610947c65372f71c740f2b0f2162abac,0.0,0.0,NÃO PRESENTE
3f3a74884d54dd9fdb20c8622c983ad0,0.4,0.0,NÃO PRESENTE
8b2c68cab2baf25d460cba6277247487,0.0,0.0,NÃO PRESENTE
f951932067b490e6c17d04efa36c9116,0.1,0.0,NÃO PRESENTE
66854f766f0dcbab6925c841aefff37b,0.0,0.0,NÃO PRESENTE
37373635c40b84351fb9d82c5a82c54f,6.2,0.0,NÃO PRESENTE
f35cfdc1409ae041956dfbb95c1e2f49,0.0,0.0,NÃO PRESENTE
d54ee8154eaaae8655b23612858a3f48,2.5,0.0,NÃO PRESENTE
69c28cf8529ae6c80379d614cd286531,5.2,0.0,NÃO PRESENTE
249ef35174c28a17f5a0767e95baa5c0,5.6,0.0,NÃO PRESENTE
8e01d2af17880b315df4e2fdf7bf60eb,0.0,0.0,NÃO PRESENTE
d09626a0649c83aaa14aee79a449e46c,5.2,0.0,NÃO PRESENTE
15e9b062dfbbf338872de6ce4ee66644,0.0,0.0,NÃO PRESENTE
a418e259bf7e6025265d48c7549fa5c1,0.0,0.0,NÃO PRESENTE
81a3053a6fb3f5e14f5763f63da44b34,5.0,0.0,NÃO PRESENTE
f9ad2f167a44e959d350136b6fd58c22,0.1,0.0,NÃO PRESENTE
9c21eacbb5267d113da205e00ed770c5,6.0,0.0,APROVADO POR NOTA
bfac440c4cfeca2bdc3c2316d74022fa,5.0,0.0,NÃO PRESENTE
7c016235c30bef04f7562adc3417bfc9,5.3,0.0,NÃO PRESENTE
adc918e881c35baa81d8d720d6a20f21,5.0,0.0,APROVADO POR NOTA
a090c8ade99a23797049621274b3fb91,6.7,0.0,NÃO PRESENTE
